"sbml_id","display_name","stoichiometric_equation","lower_bound","upper_bound","directionality","gpr_rule","ec_number","kegg_reaction_id","subsystem","annotation_kegg_reaction","annotation_ec","pathway_section","icre1355_equivalent_id","notes"
"ALT_MVAS","HMG-CoA synthase (mvaS - E. faecalis)","accoa_c + h2o_c + aacoa_c --> hydmetcoa_c + coa_c","0","1000","irreversible","MVAS","2.3.3.10","R00352","Sterol Biosynthesis","https://www.kegg.jp/entry/R00352","https://enzyme.expasy.org/EC/2.3.3.10","MVA Upstream Module","","NEW REACTION. E. faecalis mvaS (BBa_2500YMOW)."
"ALT_MVAE","HMG-CoA reductase (mvaE - E. faecalis)","hydmetcoa_c + (2) nadph_c + (2) h_c --> mva_c + coa_c + (2) nadp_c","0","1000","irreversible","MVAE","1.1.1.88","R03045","Sterol Biosynthesis","https://www.kegg.jp/entry/R03045","https://enzyme.expasy.org/EC/1.1.1.88","MVA Upstream Module","","NEW REACTION. E. faecalis mvaE reductase step only (BBa_25QNBRZ9)."
"ALT_MVK","mevalonate kinase (mvk - M. mazei)","atp_c + mva_c --> adp_c + phmva_c","0","1000","irreversible","MVK","2.7.1.36","R01394","Sterol Biosynthesis","https://www.kegg.jp/entry/R01394","https://enzyme.expasy.org/EC/2.7.1.36","MVA Downstream Module","","NEW REACTION. M. mazei MM_1762 feedback-resistant MVK (BBa_25OQUXHZ)."
"ALT_PMK","phosphomevalonate kinase (ERG8 - S. cerevisiae)","atp_c + phmva_c --> adp_c + diphmva_c","0","1000","irreversible","PMK","2.7.4.2","R01395","Sterol Biosynthesis","https://www.kegg.jp/entry/R01395","https://enzyme.expasy.org/EC/2.7.4.2","MVA Downstream Module","","NEW REACTION. S. cerevisiae ERG8 (BBa_25S3MX05)."
"ALT_MVAD","diphosphomevalonate decarboxylase (MVD1 - S. cerevisiae)","atp_c + diphmva_c --> adp_c + pi_c + h_c + ipdp_c + co2_c","0","1000","irreversible","MVAD","4.1.1.33","R00509","Sterol Biosynthesis","https://www.kegg.jp/entry/R00509","https://enzyme.expasy.org/EC/4.1.1.33","MVA Downstream Module","","NEW REACTION. S. cerevisiae MVD1 (BBa_25R9ACX). pi_c (HPO4 2-) + h_c balances charge at physiological pH 7.3. pi_c and h_c are native iCre1355 metabolites; not in alter_metabolites.csv."
"ALT_IDLI","IPP isomerase (idi - E. coli K-12)","ipdp_c --> dmpp_c","0","1000","irreversible","IDLI","5.3.3.2","R01121","Sterol Biosynthesis","https://www.kegg.jp/entry/R01121","https://enzyme.expasy.org/EC/5.3.3.2","MVA Downstream Module","R_IDI","iCre1355 already has R_IDI (Cre08.g381800.t1.1 OR Cre11.g467544.t1.1). IDLI should be added as OR to R_IDI GPR instead of a new reaction. alter.py should patch the GPR of R_IDI rather than add ALT_IDLI as a standalone reaction."
"ALT_SQEBb","squalene epoxidase (BbSQE - B. braunii)","sql_c + o2_c + nadph_c + h_c --> Ssq23epx_c + nadp_c + h2o_c","0","1000","irreversible","SQEBb","1.14.14.17","R04477","Sterol Biosynthesis","https://www.kegg.jp/entry/R04477","https://enzyme.expasy.org/EC/1.14.14.17","SQE Alternative Enzymes","SMO","B. braunii BbSQE (BBa_25UAU0L9). Best ecFBA performer. Parallel heterologous copy alongside native SMO."
"ALT_SQECf","squalene epoxidase (CrSQE overexpression - C. reinhardtii)","sql_c + o2_c + nadph_c + h_c --> Ssq23epx_c + nadp_c + h2o_c","0","1000","irreversible","Cre17.g734644.t1.1","1.14.14.17","R04477","Sterol Biosynthesis","https://www.kegg.jp/entry/R04477","https://enzyme.expasy.org/EC/1.14.14.17","SQE Alternative Enzymes","SMO","Native C. reinhardtii CrSQE overexpression copy (BBa_25FZTRN6). GPR uses exact iCre1355 transcript ID Cre17.g734644.t1.1. This is a parallel reaction copy; does not replace SMO."
"ALT_SQESc","squalene epoxidase (ERG1 - S. cerevisiae)","sql_c + o2_c + nadph_c + h_c --> Ssq23epx_c + nadp_c + h2o_c","0","1000","irreversible","SQESc","1.14.14.17","R04477","Sterol Biosynthesis","https://www.kegg.jp/entry/R04477","https://enzyme.expasy.org/EC/1.14.14.17","SQE Alternative Enzymes","SMO","S. cerevisiae ERG1 codon-optimized for C. reinhardtii (BBa_25FKDZGJ). Comparator to B. braunii SQE."
"ALT_PSPPSSc","presqualene diphosphate synthase step 1 (ERG9 - S. cerevisiae)","(2) frdp_c --> ppi_c + psqldp_c","0","1000","irreversible","SQSSc","2.5.1.21","R02003","Sterol Biosynthesis","https://www.kegg.jp/entry/R02003","https://enzyme.expasy.org/EC/2.5.1.21","SQS Alternative Enzymes","PSPPS","S. cerevisiae ERG9 step 1 (BBa_25BB8433). Parallel copy alongside native PSPPS."
"ALT_SQSSc","squalene synthase step 2 (ERG9 - S. cerevisiae)","(2) psqldp_c + nadph_c + h_c --> sql_c + (2) ppi_c + nadp_c","0","1000","irreversible","SQSSc","2.5.1.21","R02004","Sterol Biosynthesis","https://www.kegg.jp/entry/R02004","https://enzyme.expasy.org/EC/2.5.1.21","SQS Alternative Enzymes","SS","S. cerevisiae ERG9 step 2 (BBa_25BB8433). Parallel copy alongside native SS."
"ALT_PSPPSCl","presqualene diphosphate synthase step 1 (CrSQS - C. reinhardtii overexpression)","(2) frdp_c --> ppi_c + psqldp_c","0","1000","irreversible","Cre03.g175250.t1.2","2.5.1.21","R02003","Sterol Biosynthesis","https://www.kegg.jp/entry/R02003","https://enzyme.expasy.org/EC/2.5.1.21","SQS Alternative Enzymes","PSPPS","Native C. reinhardtii CrSQS overexpression step 1 (BBa_25C1BLRU). GPR uses exact iCre1355 transcript ID Cre03.g175250.t1.2. Parallel copy alongside native PSPPS."
"ALT_SQSCl","squalene synthase step 2 (CrSQS - C. reinhardtii overexpression)","(2) psqldp_c + nadph_c + h_c --> sql_c + (2) ppi_c + nadp_c","0","1000","irreversible","Cre03.g175250.t1.2","2.5.1.21","R02004","Sterol Biosynthesis","https://www.kegg.jp/entry/R02004","https://enzyme.expasy.org/EC/2.5.1.21","SQS Alternative Enzymes","SS","Native C. reinhardtii CrSQS overexpression step 2 (BBa_25C1BLRU). GPR uses exact iCre1355 transcript ID Cre03.g175250.t1.2."
"ALT_PSPPSTv","presqualene diphosphate synthase step 1 (sqs - T. vestitus)","(2) frdp_c --> ppi_c + psqldp_c","0","1000","irreversible","SQSTv","2.5.1.21","R02003","Sterol Biosynthesis","https://www.kegg.jp/entry/R02003","https://enzyme.expasy.org/EC/2.5.1.21","SQS Alternative Enzymes","PSPPS","T. vestitus SQS step 1 (BBa_25QH9X66). KEGG locus tel:tll1448."
