,fluxes
AAT,1.1370353629262615e-05
ALATLm,0.0
ASNTLm,0.0
ASPO,0.0
ASPOm,0.0
ASPTLm,0.0
ASNTL,0.01104070093662901
ASPTL,0.01104070093662901
ALATL,0.044557114442803226
ALATAH,0.0
ASNTAH,0.0
ASPTAH,0.0
ASPATh,-0.9009243607920573
AGAT,0.0
AGATx,0.0
ASPS,0.011632789276931175
ASPSE,0.0
ACGAMPM,0.0011841766806043284
G6PDA,-0.0011841766806043282
UA4E,0.01348342368890759
UDPACGLP,0.0011841766806043284
AAPT,0.0
ACGAM6PSi,0.0011841766806043282
GF6PTA,0.0
UAD,0.01348342368890759
UDPGALOR,0.0
UMPU,0.0
AOTA,0.02444726635967853
AOTAm,0.0
GACT,0.024447266359678525
GSC,0.007689059555141849
LGGSOR,0.0
PROOR,0.0
AAAT,0.0
AABHH,0.0
AGGPR,0.02444726635967853
AGK,0.02444726635967853
AODAA,0.0
ARGDI,0.0
ARGT,0.024447266359678522
G5DH,0.007689059555141849
G5DHm,0.0
G5DHx,0.0
NOS,0.0
NOS1,0.0
NOS2,0.0
ORNTArm,0.0
P5CR,0.007689059555141849
P5CRm,0.0
PROTL,0.007689059555141848
PCOR,0.0
THPOR,0.0
P3H5COR,0.0
ARGTAH,0.0
PROTAH,0.0
ARGSL,0.024447266359678522
OCT,0.0
OCTh,0.0
OCTm,0.024447266359678525
ARGSS,0.024447266359678522
GLU5K,0.007689059555141848
GDPMANNE1,0.017742567697567598
GDPMANNE2,0.0
GDPMANNE3,0.0
ASCBOR4,0.0
MDHASCBL,0.0
ASCBOR,4.928586864280286e-05
GTHDHu,0.0
UDPGLCURH,0.0
GDPGALP,0.017742567697567598
GAL1PP,0.017742567697567598
GALOR,0.0
GALTLOR,0.0
ASCBOR2,0.0
ASCBOR3,0.0
ATPM_NGAM,2.85
ASAPT,0.0
PPCOAOm,0.0
BAOAT,0.0
APOR,0.0
BADP,0.0
HIDP,0.0
PAO,0.0
PBAL,0.0
HAL,0.0
DHDH,0.0
DHPD,0.0
BUPN,0.0
44MZYMMO,0.0
44MZYMOR,0.0
4MZYMDM,0.0
4MZYMR,0.0
CADMO,0.0
CADS,0.0
CAS,0.00017492851893162502
CMS,0.008646785668619554
CYARTMT,0.00017492851893162505
CYEUOLCYCI,0.00017492851893162505
CYEUOLS,0.00017492851893162502
DDSMSTOLD,0.0
DSMSTOLD,0.0
DXRI,0.008646785668619553
GGDR,0.001370129049118935
HDS,0.008646785668619554
LNS14DM,0.0
LS,0.0
MCS,0.008646785668619556
MERGTROLR,0.00017492851893162508
MPQMT,0.0
SMO,0.00017492851893162508
4MZYMCODH,0.0
CHLSTD78I,0.0
CHLSTI,0.0
CHLSTR,0.0
CMK,0.008646785668619556
DDSMSTOLR,0.0
DSMSTOLR,0.0
DXS,0.008646785668619554
FPPS,0.0
FPPSh,0.0022491606766207005
GGPS,0.0018993036387574506
GPPS,0.0
GPPSh,0.0022491606766207005
HPT,0.0
IDI,0.0
IDIh,0.002249160676620701
IDS1,0.008646785668619554
IDS2,0.0
LTHSTRLOR,0.0
OBFOOLOR,0.00017492851893162505
PSPPS,0.0001749285189316251
SS,0.00017492851893162508
TCYD,0.0
TCYG,0.0
TMTB,0.0
TMTD,0.0
TMTG,0.0
VITD3S,0.0
ZYMSTR,0.0
HST,0.0
MSBQMT,0.0
3OACOAR,0.005514449226898902
3OACOAS,0.005514449226898904
COA1819ZD9DS,0.005514449226898902
ECOAH8,0.005514449226898902
ECOAR,0.005514449226898902
FACOAE160,0.0
FACOAE180,0.0
FACOAE1819Z,0.0
FACOAE1829Z12Z,0.0
FACOAE1836Z9Z12Z,0.0
FACOAE1839Z12Z15Z,0.0
LNLCCOAOR,0.0
AMAOTr,1.0289912643599909e-07
MALCOAMT,1.0289912643599909e-07
OGMEACPS,1.028991264359991e-07
OGMEACPR,1.0289912643599907e-07
OGMEACPD,0.0
EGMEACPR,0.0
OPMEACPS,0.0
OPMEACPR,0.0
OPMEACPD,0.0
EPMEACPR,0.0
PMEACPE,0.0
AOXSr2,1.0289912643599909e-07
DBTS,1.0289912643599909e-07
BTS5,1.0289912643599907e-07
BTNL,0.0
BTNL2,0.0
BTNLm,0.0
BTNLm2,0.0
BCACT,0.0012997956956040497
BCOR,0.0
HBCHL,0.0
HBCHLm,0.0
HBCHLR,0.0
HBCO_nadp,0.0
HBCO_nadp_m,0.0
HBNOm,0.0
HBNOx,0.0
APLh,0.0
APLm,-1.028991264359991e-07
BNOR,0.0
BNORh,0.0
BTS,0.0
BTS_nadph,0.0
HBCO,0.0
HBCOm,0.0
SSNOh,0.0
SSNOm,0.0
CALLOSES,0.0
CALLOSESf,0.0
ALAAT,-0.29183371496014127
HCO3E,-18.870370628275097
HCO3Em,-0.029149380860352382
FBA3hi,1.3521687506724391
GAPDH_nadp_hi,2.5253751761094767
HCO3Ehi,13.196541395577572
MDH_nadp_hi,0.0
MDHCm,0.0
PPC,0.0
PPDKh,0.0
PRUK,1.8696777347684874
RBPCh,1.8696777347684874
SBP,1.3521687506724391
GAPDH_nadp,0.0
ASPATm,6.01853178103649
MDHC_nadp_hr,-11.758590112816945
ANXANASCOR,-5.1879861729266166e-05
BCAROH,6.7443820248046e-05
BCAROKT,0.0
BCRPTXANH,6.7443820248046e-05
LCYA,0.000124511668150239
LCYB,0.00014007562666901876
LCYD,0.000124511668150239
LCYE,0.0
LCYG,0.0001400756266690188
LUTH,3.372191012402303e-05
NEOXANS,2.85339239510964e-05
NOR,0.00026458729481925776
PDS1,0.00026458729481925776
PDS2,0.00026458729481925776
VIOXANOR,-4.6691875556339545e-05
ZDS,0.00026458729481925776
TCZCARI,0.0
TCLYCI,0.0
ANXANOR,0.0
CHYA1,9.85717372856059e-05
CHYA2,0.0
CXHY,0.0
PSY,0.00026458729481925776
ZAXANOR,0.0
ZHY,9.85717372856059e-05
PHYTOOR,0.0
DCPHYTFLOR,0.0
DCZCAROR,0.0
CY_focytc_h,0.0
CY_focytb5_c,0.011028898453797804
ETF,0.0
ETFQO,0.0
CYSTAm,0.001544303002036009
MERCPPYRST,0.001544303002036009
3SPYRSPh,0.0
3SPYRSPm,0.0
ACSERSULL,0.0
ACSERSULLh,0.0
ACSERSULLm,0.0
SHSL1h,0.0
SHSL2h,0.0
SHSL4h,0.0
CSLm,0.0
CSLh,0.0
