,minimum,maximum
AAT,-1000.0,1000.0
ALATLm,0.0,0.0
ASNTLm,0.0,0.0
ASPO,0.0,9.955479520396864
ASPOm,0.0,9.955479520396528
ASPTLm,0.0,0.0
ASNTL,0.009936630842966108,7.351806205317299
ASPTL,0.009936630842966108,7.351806205316541
ALATL,0.0401014029985229,7.3819709774721005
ALATAH,0.0,7.341869574473711
ASNTAH,0.0,7.341869574473711
ASPTAH,0.0,7.341869574473576
ASPATh,-137.49661083804807,20.207409586464095
AGAT,0.0,12.173324146128317
AGATx,0.0,0.0
ASPS,0.010387934879780377,4.904967651196045
ASPSE,0.0,4.89457971631609
ACGAMPM,0.0009026080736285391,0.011592101606498388
G6PDA,-0.011592101606532255,14.682836540875757
UA4E,0.012135081320016826,0.013483427437071429
UDPACGLP,0.0009026080736262181,0.011592101606472066
AAPT,0.0,14.683738130247624
ACGAM6PSi,0.000902608073628539,0.011592062613132706
GF6PTA,0.0,14.683738130247379
UAD,0.01213508132001683,14.695873211566298
UDPGALOR,0.0,0.013483421972041738
UMPU,0.0,14.683738130246564
AOTA,0.022002539723710662,14.18335448842573
AOTAm,0.0,0.0
GACT,-68.72520375542554,14.183354488425195
GSC,0.006920153599627662,9.544659742524201
LGGSOR,-0.040620075424958185,14.161351948702348
PROOR,0.0,21.24095029742183
AAAT,0.0,68.74720326991293
AABHH,0.0,0.020309963625161295
AGGPR,0.02200253972371067,14.183354488422216
AGK,0.022002539723710666,14.183354488425582
AODAA,0.0,68.74720326991668
ARGDI,0.0,7.341869065124064
ARGT,0.022002539723710666,7.363871604847784
G5DH,0.006920153599627662,9.544659742524871
G5DHm,0.0,0.0
G5DHx,0.0,0.0
NOS,0.0,2.299252607667359
NOS1,0.0,2.0583821363138433
NOS2,0.0,1.0291910681568566
ORNTArm,0.0,14.161351948700764
P5CR,0.006920153599627662,9.544659742524574
P5CRm,0.0,21.240950297421872
PROTL,0.006920153599627662,7.348789218730773
PCOR,0.0,9.537739588924575
THPOR,0.0,0.0
P3H5COR,0.0,0.0
ARGTAH,0.0,7.341869065123247
PROTAH,0.0,7.341869065123955
ARGSL,0.022002539723710666,7.363871604847063
OCT,0.0,2.7015885333523566
