name,growth_mode,mu_obs,mu_pred,objective,co2_ub,nh4_ub,pi_ub,acet_ub,light_ub,R2
Autotrophic_Rep1,Autotrophic,0.033,0.03352019768416462,Biomass_Chlamy_auto,1.289,-0.569,-0.032,NA,,0.7181694272124709
Autotrophic_Rep2,Autotrophic,0.033,0.04204957411916086,Biomass_Chlamy_auto,ND,-0.734,-0.024,NA,,0.7181694272124709
Autotrophic_Rep3,Autotrophic,0.042,0.04380163970755705,Biomass_Chlamy_auto,1.752,-0.514,-0.025,NA,,0.7181694272124709
Autotrophic_Rep4,Autotrophic,0.042,0.04555370529585267,Biomass_Chlamy_auto,1.775,-0.486,-0.026,NA,,0.7181694272124709
Mixotrophic_Rep1,Mixotrophic,0.082,0.10368958467623307,Biomass_Chlamy_mixo,ND,-3.035,-0.099,-1.364,,0.7181694272124709
Mixotrophic_Rep2,Mixotrophic,0.082,0.08169482429042398,Biomass_Chlamy_mixo,ND,-0.748,-0.078,-2.261,,0.7181694272124709
Mixotrophic_Rep3,Mixotrophic,0.061,0.04922636848264373,Biomass_Chlamy_mixo,ND,-1.259,-0.047,-1.059,,0.7181694272124709
Mixotrophic_Rep4,Mixotrophic,0.061,0.042942151229556434,Biomass_Chlamy_mixo,ND,-1.071,-0.041,-1.234,,0.7181694272124709
Heterotrophic_Rep1,Heterotrophic,0.024,0.01620442089225176,Biomass_Chlamy_hetero,ND,-0.439,-0.01,-1.579,0.0,0.7181694272124709
Heterotrophic_Rep2,Heterotrophic,0.028,0.01944530507070174,Biomass_Chlamy_hetero,ND,-0.454,-0.012,-1.599,0.0,0.7181694272124709
