name,growth_mode,mu_obs,mu_pred,objective,co2_ub,nh4_ub,pi_ub,acet_ub,light_ub,R2
Autotrophic_Rep1,Autotrophic,0.033,0.03343840368298801,Biomass_Chlamy_auto,-1.289,-0.569,-0.032,0.0,,0.7181883589859865
Autotrophic_Rep2,Autotrophic,0.033,0.04204957411953961,Biomass_Chlamy_auto,,-0.734,-0.024,0.0,,0.7181883589859865
Autotrophic_Rep3,Autotrophic,0.042,0.04380163970767755,Biomass_Chlamy_auto,-1.752,-0.514,-0.025,0.0,,0.7181883589859865
Autotrophic_Rep4,Autotrophic,0.042,0.04555370529591085,Biomass_Chlamy_auto,-1.775,-0.486,-0.026,0.0,,0.7181883589859865
Mixotrophic_Rep1,Mixotrophic,0.082,0.10368958467623021,Biomass_Chlamy_mixo,,-3.035,-0.099,-1.364,,0.7181883589859865
Mixotrophic_Rep2,Mixotrophic,0.082,0.0816948242903299,Biomass_Chlamy_mixo,,-0.748,-0.078,-2.261,,0.7181883589859865
Mixotrophic_Rep3,Mixotrophic,0.061,0.04922636848265285,Biomass_Chlamy_mixo,,-1.259,-0.047,-1.059,,0.7181883589859865
Mixotrophic_Rep4,Mixotrophic,0.061,0.04294215122953608,Biomass_Chlamy_mixo,,-1.071,-0.041,-1.234,,0.7181883589859865
Heterotrophic_Rep1,Heterotrophic,0.024,0.016204420892252467,Biomass_Chlamy_hetero,,-0.439,-0.01,-1.579,0.0,0.7181883589859865
Heterotrophic_Rep2,Heterotrophic,0.028,0.019445305070700865,Biomass_Chlamy_hetero,,-0.454,-0.012,-1.599,0.0,0.7181883589859865
