reaction_id,reduced_cost,abs_reduced_cost,rank
CYP710_ERG5,1.51724927186748e-16,1.51724927186748e-16,1
ERG28,1.2210787417269703e-16,1.2210787417269703e-16,2
OBFOOLOR,1.2210787417269703e-16,1.2210787417269703e-16,3
CYARTMT,1.1742685230615996e-16,1.1742685230615996e-16,4
CYEUOLS,1.0070448692803504e-16,1.0070448692803504e-16,5
SMT1_CROSS,-1.0006242580389869e-16,1.0006242580389869e-16,6
CDI1_BRANCH,-9.03551856539392e-17,9.03551856539392e-17,7
SMT1_2ND,6.647102788987479e-17,6.647102788987479e-17,8
MERGTROLR,-6.437119881528622e-17,6.437119881528622e-17,9
STE1_ERG3,4.0702624724232343e-17,4.0702624724232343e-17,10
ERG3,4.0702624724232343e-17,4.0702624724232343e-17,11
ERG5,4.0702624724232343e-17,4.0702624724232343e-17,12
CYEUOLCYCI,4.0627423758901176e-17,4.0627423758901176e-17,13
SMO,3.52884925205057e-17,3.52884925205057e-17,14
HYD1,2.0667116808576457e-17,2.0667116808576457e-17,15
C4DEMETH_BRANCH,1.1856668572083423e-17,1.1856668572083423e-17,16
CAS,6.073894187065483e-18,6.073894187065483e-18,17
