reaction_id,flux_mmol_gDW_h
EX_photonVis_e,-49.84507483277203
PRISM_design_growth,49.84507483277202
ATPSm,28.137341677252238
HCO3_h_thi,17.25732405097836
HCO3E,-17.257324050978358
HCO3Ehi,17.254363446370853
NA1Hth,16.069936107110827
PSIred,15.909135899505314
FNORh,15.909135899505312
CBFC,15.909135899505312
H2Othu,-15.90877014585959
ENO,15.523558187867522
PYK,15.48360911746014
PYRth,15.419635354323157
MDHC_nadp_hr,-15.415751746841906
2PGtm,-15.13610915873935
ENOm,-15.13610915873935
PPCKm,15.136109158739348
CO2tm,-15.130144405831672
PItm,12.954213597220996
H2Otm,-12.358374512709643
DM_photon646_h,11.004121822642139
NA1ATPasem,8.988788765522521
MDHm,-8.879012775228619
MAL_na_tm,8.879012775228617
MAL_na_th,-8.84768837206265
EX_o2_e,-8.687779226615735
O2t,8.687779226615735
NADHOR,8.441225953926907
CYOR_q8_m,8.441225953926907
ATPSh,7.954819044184641
PSIIred,7.954567949752655
DM_o2D_u,7.954567949752655
ASPATh,-6.568063374779255
MDHh,-6.568063374779255
ASPth,-6.385432819035909
TYRtm,-6.28016360136308
34HPPt2m,6.28016360136308
TYRTA,-6.280163601363079
TYRTAm,6.280163601363079
ASPtm,6.261915553946529
ASPATm,6.2570963835107305
DM_photon680_u,4.749191202869001
H2Ot,4.234745766454078
EX_h2o_e,-4.234745766454078
O2tmr,4.220671603841545
CYOO6m,4.220554350085363
NA1th,-4.108272913429362
ACKrm,3.8894020475045097
PTArm,-3.8894020475045097
ACtm,3.8894020475045097
ACth,-3.778678069298595
PTArh,3.7763308873428665
ACKrh,-3.7763308873428665
ACCOAtm,-3.658524488859828
ACCOAth,3.5568226892308767
PGKh,-3.351906506904603
GAPDHh,-3.351906506904603
GLUS,3.3402648502923813
GAL,3.267108656999879
GLNth,3.23234399658374
AKG_na_th,-3.219430128451773
ATPPH,3.184451945921769
CHLDA2tu,2.9492762564456267
CHLDA1tu,2.948757456948147
ASPO,2.9305050646399553
ASPAT,-2.8609857328155828
ATPM_NGAM,2.85
PIcm,2.2069515526883525
CO2t,2.0
EX_co2_e,-2.0
PRUK,1.8696777680163872
RBPCh,1.8696777680163872
CAT,1.4710288190939411
TPIh,-1.3605136396922346
FBA3hi,1.3521688220870083
SBP,1.3521688220870083
RPEh,-1.2556341297393665
TAh,0.7273090928169941
HATPase,0.6909117398085927
TKT2h,-0.6307744004693525
TKT1h,-0.624859729270014
RPIh,0.6140436382770206
PGM,0.38744902912817186
3PG_pi_thr,-0.3874490291281718
EX_nh4_e,-0.34394042282471243
NH4t,0.3439404228247124
EX_h_e,0.3176061767608552
IDP,0.30251549410888784
ATAM,0.25637101857928263
ASPK,0.18263055574334655
ASADH,0.18263055574334652
HSK,0.17967322014367726
HSDH,0.17967322014367726
THRS,0.17927890872695804
NNOR,-0.144117443258023
THRA,0.13139989194231222
ACALDh,0.1313998919423122
GLYth,-0.1294470747996419
FTHFL,0.12384155522639405
ETOHtx,0.11393061094785313
ACDHmi,0.11393061094785313
ETOHtm,-0.11393061094785313
ALDDH,0.11393061094785313
ACALDtx,-0.11393061094785312
METHFtx,-0.1139306109478531
10FTHFtx,0.1139306109478531
MTHFCx,0.1139306109478531
PQQm,-0.11393061094785309
ALCDH_pqq_x,0.11393061094785309
MTHFOR_nadp,-0.11393061094785309
GALh,0.11392338119197683
MLTHFtm,0.11386779473042564
THFtm,-0.11386779473042563
H2Otx,-0.11004582528820973
GLYNA1tm,0.1097759902939037
SERtm,-0.10976451702158131
GHMT,0.1097645170215813
SERNA1th,0.10545530683295964
IDPh,0.10491856018224273
THRAL,0.10291102259093535
FORthi,0.09345051254988604
PFLh,0.09341609273291192
ALAAT,-0.08851446254316817
ICDH,0.06951933182437285
CS,0.06951933182437285
ACONT,0.06951933182437285
GLPThi,0.06903096608115313
PGIAh,-0.060459873239591004
PGMTh,-0.060459873239591
Biomass_Chlamy_auto,0.0514496516803127
NADHtm,0.05113879154884829
NADtm,-0.0511273182765236
GLYDH,0.048642449165354845
GLYCOR_nadp,0.048020756162506305
AAT,0.044590438780520485
ALAtm,0.044578965508195775
ALATL,0.04455719003782091
F6P_pi_thi,0.03607481910805061
TAL,0.03447242861619272
SUCFUMtmr,-0.03132440316596698
FUMm,0.03132440316596697
DICtm,-0.03132440316596697
O2thr,0.029580442728836236
PIt,0.02936514022302506
EX_pi_e,-0.02936514022302506
1ACPCth,-0.029149224516208237
FORtmi,0.029149224516208237
GALm,0.029149224516208234
HCO3Em,-0.029149224516208234
ACCAHh,-0.029149224516208234
ACCAHm,0.02914922451620823
1ACPCtm,0.02914922451620823
PCFPTm,0.02914922451620823
HCGALm,0.029149224516208227
GTPOP,0.028007741616411997
PCNO,0.027603367257626
PPCOAtm,-0.027603367257626
OCDOR,-0.027603367257626
HPCOR,-0.027603367257625997
HPHL,-0.027603367257625997
COAtm,0.02760336725762586
ATUDm,0.025419225710869107
UTPtm,-0.025419225710869107
UDPtm,0.025419225710869107
AOTA,0.024447307836590937
AGK,0.024447307836590937
AGGPR,0.024447307836590937
OCTm,0.024447307836590933
GACT,0.024447307836590933
ORNtm,0.02444730783659093
ARG_Ltm,0.02444730783659093
CITRLtm,-0.02444730783659093
ARGSS,0.02444730783659093
ARGSL,0.02444730783659093
ARGT,0.02444730783659093
MPAKI,-0.023071414664276556
MPPM,0.023071414664276552
GAMPG,0.023071414664276552
PDHam1mi,0.02306721785234887
APLm,0.02306721785234887
BCTA_val_m,0.02306721785234887
VALtm,-0.02306721785234887
DMORm,0.023067217852348866
DMHL,0.023067217852348866
ATAMh,0.021737989124050457
HBCHL,0.02014349157368399
BCOR,-0.02014349157368399
HBCO_nadp,0.020143491573683985
ACACT,0.020143491573683985
ACACT2m,0.019491157949471635
FA40COAtm,0.019491157949471635
HACD6m,0.019491157949471632
ACACT6m,0.019491157949471632
ECOAH3m,0.019491157949471632
HACD5m,0.019491157949471632
HACD2m,0.019491157949471632
ECOAH2m,0.019491157949471632
HACD7m,0.019491157949471632
ACACT5m,0.019491157949471632
ACACT4m,0.019491157949471632
ACACT3m,0.019491157949471632
ECOAH4m,0.019491157949471632
ECOAH5m,0.019491157949471632
ACACT7m,0.019491157949471632
ACOAR6m,0.019491157949471632
ACOAR7m,0.019491157949471632
ACOAR2m,0.019491157949471632
ECOAH6m,0.019491157949471632
HACD4m,0.019491157949471632
