reaction_id,flux_mmol_gDW_h
EX_photonVis_e,-63.28136482281884
PRISM_design_growth,63.28136482281883
ATPSm,33.01190476190495
HCO3_h_thi,20.2452380952382
HCO3E,-20.2452380952382
HCO3Ehi,20.2452380952382
CBFC,20.19761904761918
FNORh,20.19761904761918
PSIred,20.19761904761918
H2Othu,-20.197619047619177
MDHC_nadp_hr,-18.31666666666676
PYRth,18.292857142857233
ENO,18.29285714285723
CO2tm,-18.245238095238193
PPCKm,18.24523809523819
2PGtm,-18.24523809523819
ENOm,-18.24523809523819
NA1Hth,17.388095238095286
PYK,17.283333333333356
PItm,14.320238095238187
DM_photon646_h,13.972143762110992
H2Otm,-12.900000000000004
MDHm,-10.42142857142864
NA1ATPasem,10.350000000000064
MAL_na_tm,10.350000000000064
ATPSh,10.09880952380959
DM_o2D_u,10.098809523809589
PSIIred,10.098809523809589
EX_o2_e,-10.0
O2t,10.0
CYOR_q8_m,9.9928571428572
NADHOR,9.921428571428628
MAL_na_th,-9.269047619047614
MDHh,-9.047619047619143
ASPATh,-9.047619047619142
ASPth,-8.904761904762
ASPtm,7.82380952380955
ATPPH,7.599999999999929
34HPPt2m,7.520238095238121
TYRtm,-7.520238095238121
TYRTA,-7.5202380952381205
TYRTAm,7.52023809523812
ASPATm,7.52023809523812
DM_photon680_u,6.02938810164009
O2tmr,5.148214285714314
CYOO6m,4.844642857142884
GAPDHh,-4.666666666666718
PGKh,-4.666666666666717
H2Ot,4.544047619047624
EX_h2o_e,-4.544047619047624
GAL,4.523809523809571
GLUS,4.523809523809571
GLNth,4.523809523809571
AKG_na_th,-4.52380952380957
ACKrm,4.20238095238098
ACtm,4.20238095238098
PTArm,-4.20238095238098
NA1th,-4.047619047619065
PTArh,3.988095238095262
ACth,-3.988095238095262
ACKrh,-3.9880952380952617
PIcm,3.9249999999999976
ACCOAtm,-3.916666666666693
ACCOAth,3.845238095238116
CHLDA1tu,3.1744047619047637
CHLDA2tu,3.1744047619047637
ATPM_NGAM,2.85
ASPO,2.7583333333333044
ASPAT,-2.686904761904727
PRUK,2.3571428571428785
RBPCh,2.3571428571428785
CO2t,2.0
EX_co2_e,-2.0
TPIh,-1.8809523809524016
FBA3hi,1.5714285714285863
RPEh,-1.5714285714285863
SBP,1.571428571428586
CAT,1.3791666666666522
FUMm,1.0809523809524486
SUCFUMtmr,-1.009523809523875
DICtm,-1.009523809523875
ADSS,1.0095238095238748
AAL_fum,1.0095238095238748
GTPOP,1.0095238095238748
AMPD,1.0095238095238748
IDP,0.8928571428571602
GLYCOR_nadp,0.8333333333333478
RPIh,0.7857142857142931
TKT2h,-0.7857142857142931
TAh,0.7857142857142931
TKT1h,-0.7857142857142929
ATAM,0.6190476190476304
IDPh,0.5833333333333457
GLYDH,0.5238095238095327
SERNA1th,0.4523809523809611
NH4th,-0.45238095238096104
THRAL,0.45238095238096104
CMK,0.428571428571438
CTPth,0.428571428571438
DXS,0.42857142857143793
CMPth,-0.42857142857143793
DXRI,0.42857142857143793
ATCD,0.42857142857143793
HDS,0.42857142857143793
IDS1,0.42857142857143793
MCS,0.42857142857143793
ATCM,0.42857142857143793
CMS,0.4285714285714379
GDR_nadp_h,0.4285714285714378
GTHPDSOR,-0.4285714285714378
PAPA1801819Z,0.3095238095238152
MAGAH180,0.3095238095238152
DAGAH1801819Z,0.3095238095238152
G3PD2,0.30952380952381514
FACOAL180,0.30952380952381514
AGPATCOA1801819Z,0.30952380952381514
GLYC3Pth,0.30952380952381514
G3PAT180,0.30952380952381514
FACOAL181,0.3095238095238151
GLYALDOR,-0.3095238095238151
ALCD19y,-0.3095238095238151
ALAAT,-0.3095238095238151
SPTA,-0.30952380952381503
CCP2m,0.3035714285714314
NH4tm,-0.30357142857142994
ASPOm,0.30357142857142994
H2Otx,-0.21428571428572024
ALDDH,0.214285714285719
MLTHFtm,0.214285714285719
ETOHtm,-0.21428571428571896
PQQm,-0.21428571428571896
ACDHmi,0.21428571428571896
ALCDH_pqq_x,0.21428571428571896
ACALDtx,-0.21428571428571896
MTHFOR_nadp,-0.21428571428571896
THFtm,-0.21428571428571894
10FTHFtx,0.21428571428571894
MTHFCx,0.21428571428571894
ETOHtx,0.21428571428571894
METHFtx,-0.21428571428571894
FTHFL,0.2142857142857189
ASADH,0.14285714285714604
HSDH,0.142857142857146
HSK,0.142857142857146
ACALDh,0.14285714285714599
THRS,0.14285714285714599
ASPK,0.14285714285714599
IDIh,0.14285714285714599
THRA,0.14285714285714599
FRDPth,0.14285714285714596
SERtm,-0.14285714285714596
GHMT,0.14285714285714596
FPPSh,0.14285714285714596
GLYth,-0.14285714285714596
GLYtm,0.14285714285714596
GPPSh,0.14285714285714596
PPIth,0.130952380952384
CS,0.07142857142857748
ACONTm,0.07142857142857703
MALCITtm,-0.07142857142857703
SUCDH_q8_m,0.07142857142857359
ICL,0.07142857142857359
NNOR,-0.07142857142857299
ERG4_ERGSTRL,0.07142857142857298
SMO,0.07142857142857298
sink_ergosterol_c,0.07142857142857298
ADSHm,0.07142857142857298
ERG28,0.07142857142857298
MERGTROLR,0.07142857142857298
HYD1,0.07142857142857298
IDPm,0.07142857142857298
CYEUOLS,0.07142857142857298
CYARTMT,0.07142857142857298
CAS,0.07142857142857298
METSm,0.07142857142857298
ERG3,0.07142857142857298
MTHFO_nadp,0.07142857142857298
SS,0.07142857142857298
MATm,0.07142857142857298
ERG5,0.07142857142857298
PSPPS,0.07142857142857297
CYEUOLCYCI,0.07142857142857297
OBFOOLOR,0.07142857142857297
AMETt2m,0.07142857142857297
ATAMm,0.07142857142857169
ADNKm,0.07142857142857167
MALSm,0.07142857142856848
PGM,0.04761904761903978
3PG_pi_thr,-0.047619047619039775
ICDH,4.3151644611992655e-15
MALICITtm,4.3151644611992655e-15
NADPth,3.4119897966083502e-15
ADNtm,-1.302413304155548e-15
AMP5N,-1.2961109257398653e-15
ATAMh,-1.1710032045020074e-15
AMPth,-1.1710032045020072e-15
NADHth,-1.00734694933548e-15
NADH_h_tx,8.84132291179659e-16
NADtx,8.841322911796589e-16
EX_pi_e,8.821490785013559e-16
PIt,-8.821490785013559e-16
EX_nh4_e,-8.446908151518195e-16
NH4t,8.446908151518195e-16
GCLDH,4.497988015503406e-16
GLYCLTD,4.497988015503406e-16
GLYCLTtm,4.497988015503406e-16
GLXtx,-4.4206614558982953e-16
CSx,-4.4206614558982953e-16
MALSx,-4.4206614558982953e-16
CITx,4.420661455898295e-16
COA_h_tx,4.420661455898295e-16
ACACT1,-4.420661455898295e-16
HACD1,-4.4206614558982943e-16
ECOAH1,-4.4206614558982943e-16
MDHx,4.4206614558982943e-16
